Set,zipcode,price_sold,zestimate,bedroom,bathroom,area,year,parking,lot,sold_date,price_list_f,date_list,price_list,tax,tax_assessment,walk,bike,school,heating_baseboard_dummy,heating_forced_water_dummy,heating_forced_air_dummy,heating_natural_gas_dummy,heating_other_dummy,heating_central_air_dummy,heating_gas_connected_dummy,cooling_central_air_dummy,cooling_ductless_dummy,cooling_window_units_dummy,cooling_wall_units_dummy,cooling_other_dummy,cooling_none_dummy,bedroom_6_plus,bathroom_6_plus
A,01075,320000.0,326100.0,3,2,1060.0,1963,4.0,0.22,2024-07-15,329999.0,2024-05-12,329999.0,4444.0,253200.0,35.0,31.0,6.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
A,01075,338000.0,334600.0,3,1,1239.0,1950,1.0,0.25,2024-09-26,340000.0,2024-08-25,340000.0,4700.0,267800.0,18.0,21.0,6.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A,01075,400000.0,400400.0,4,2,1482.0,1955,4.0,0.32,2024-09-05,355000.0,2024-07-11,355000.0,4709.0,268300.0,3.0,24.0,6.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
A,01075,396900.0,400500.0,3,2,1440.0,2000,2.0,0.57,2024-08-23,399900.0,2024-05-30,399900.0,7345.0,418500.0,25.0,31.0,6.0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
A,01075,615000.0,625800.0,4,3,2516.0,1987,2.0,0.57,2024-07-26,637500.0,2024-06-03,637500.0,8749.0,498500.0,6.0,10.0,6.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
A,01075,599728.0,603900.0,5,4,3791.0,1968,2.0,0.57,2024-08-29,589500.0,2024-07-25,589500.0,7510.0,427900.0,32.0,38.0,6.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A,01075,589400.0,576400.0,4,2,3077.0,1962,2.0,1.12,2024-09-25,589400.0,2024-08-21,589400.0,8418.0,473700.0,5.0,9.0,6.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
A,01075,415000.0,447100.0,5,2,1772.0,1950,2.0,1.3,2024-08-15,425000.0,2024-06-25,425000.0,5578.0,313900.0,20.0,29.0,6.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A,01075,560000.0,562600.0,3,3,1958.0,1996,2.0,3.9,2024-08-30,560000.0,2024-06-18,560000.0,6181.0,352200.0,14.0,22.0,6.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A,01507,225000.0,228100.0,1,1,896.0,1930,3.0,0.22,2024-07-10,225000.0,2024-06-21,225000.0,2492.0,204800.0,0.0,16.0,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
